,Maximum Pressure(predicted),Maximum Pressure,Crank Angle at Maximum Pressure(predicted),Crank Angle at Maximum Pressure,Maximum Rate of Pressure Rise(predicted),Maximum Rate of Pressure Rise,BMEP(predicted),BMEP,IMEP(predicted),IMEP,BSFC(predicted),BSFC,BSNOx(predicted),BSNOx,BSCO(predicted),BSCO
1491,46.443844,46.3,25.540152,26.32,1.2684411,1.59,9.151299,9.59,10.37188,11.49,328.52386,330.8,3.7198236,3.52,284.42627,287.0
1803,62.86922,63.1,17.183157,16.0,2.8674242,2.95,8.764077,9.31,11.578733,11.58,338.10825,338.2,4.8706374,4.66,322.00867,320.5
1889,45.71667,47.8,26.238596,27.07,1.5720394,1.56,8.980057,9.63,11.135993,11.93,356.04507,356.7,3.1200013,2.97,334.9723,334.0
1525,34.64633,34.9,33.811016,33.95,0.2310262,0.92,8.5624075,8.56,9.412821,10.43,366.58444,365.5,2.7888165,2.56,316.64835,312.3
1732,38.180782,38.7,33.48452,33.86,0.4656047,1.01,10.253611,9.23,10.5016365,11.58,370.75403,375.3,2.1622467,2.27,335.83032,339.5
1354,40.32444,41.5,30.41321,32.55,0.8465697,1.21,10.509321,10.26,11.552034,12.07,328.05728,330.4,3.301234,3.49,264.84387,265.1
1269,64.17171,64.4,17.988123,19.03,2.6627226,2.95,11.263021,11.08,13.135533,13.14,298.45627,299.4,5.2928762,5.11,246.7473,247.2
1908,49.67368,49.4,26.212458,26.9,1.7020248,1.62,10.687695,9.93,11.956093,12.24,351.77023,353.1,2.9996397,3.09,329.80844,331.0
1914,30.02173,25.7,40.425495,37.73,0.18231694,0.56,6.469465,6.06,9.222777,7.99,458.10663,454.5,2.493739,1.67,428.21796,418.9
757,43.33059,38.8,28.067492,29.79,2.190297,1.23,9.841879,9.48,10.737802,10.48,307.98712,305.4,4.519247,3.66,222.2827,220.6
2067,54.070885,57.0,21.57859,22.0,2.6185076,2.25,9.319639,9.81,12.918303,12.22,348.05063,350.4,3.974241,3.63,331.5199,336.9
1284,62.76309,65.5,18.538685,18.24,2.611251,3.02,11.534248,11.2,13.107122,13.33,296.74622,298.7,5.002684,5.14,246.89154,246.4
1501,53.49978,52.4,24.115393,25.73,1.7900609,1.88,10.986703,10.65,12.222391,12.89,323.35687,322.3,4.033535,3.57,276.72128,277.9
1964,71.24723,70.4,14.331473,13.0,3.7333052,3.68,9.736392,9.49,13.841613,11.82,341.8121,342.9,5.6500263,5.04,328.9839,332.3
859,54.518883,55.1,20.491491,17.47,2.0108993,2.6,9.136443,9.39,11.543218,10.89,294.1163,293.9,5.5329976,5.23,223.93735,222.2
1940,37.93583,37.5,34.195496,35.07,0.7564434,0.94,10.120002,8.98,11.367873,11.23,389.2959,393.3,2.0657594,2.17,362.73157,366.1
1507,53.463814,53.1,24.152105,25.67,1.809085,1.91,11.202133,10.76,12.308664,13.06,322.0729,321.4,3.933922,3.6,276.45593,276.9
2110,28.143188,22.8,42.40078,41.0,0.3789068,0.45,6.047325,5.97,10.387024,7.68,482.3925,486.5,2.5986702,1.39,453.24893,453.6
1149,38.99813,38.4,30.498785,31.71,0.74150187,1.14,9.807213,9.62,11.273436,10.92,324.51883,323.4,3.6887274,3.65,251.84314,253.1
1813,73.88775,72.0,14.139162,16.0,3.468445,3.48,11.400148,10.67,13.467789,13.18,323.61038,327.1,5.174046,4.55,308.29602,308.5
1116,51.075417,49.7,23.488129,23.91,1.7475835,1.9,10.453772,10.45,12.193858,11.75,300.15213,301.6,4.6014585,4.6,234.08359,236.8
758,42.902485,38.5,28.216246,29.36,1.9704688,1.21,9.826039,9.37,10.853726,10.39,308.8036,307.1,4.453642,3.51,224.29794,225.2
1329,32.644722,32.6,33.168278,33.51,0.1605382,0.83,7.8972387,8.3,9.059426,9.73,352.00613,351.5,3.1152873,3.12,291.99203,284.9
2091,38.95247,43.6,28.088814,29.0,1.7127343,1.34,7.234654,8.97,11.763557,11.22,376.64297,377.1,3.1536806,2.63,357.72116,360.0
1928,33.988087,36.0,34.93318,35.31,0.56368023,0.89,8.73573,8.62,10.57485,10.83,396.28705,398.8,2.0934072,2.12,369.8637,370.5
1210,63.49357,63.3,16.734066,15.05,2.58953,3.11,9.375551,9.79,11.563042,11.58,303.55243,305.0,5.6548257,5.55,255.56111,253.3
862,56.77894,58.0,19.647472,17.12,2.332009,2.8,9.529457,9.87,11.859405,11.38,290.6459,290.7,5.7099547,5.52,219.71053,217.4
1703,51.79487,51.2,24.878935,26.7,1.6483454,1.74,11.148925,10.26,11.735788,12.74,333.1252,339.3,3.2313192,3.13,303.29688,310.6
1264,64.94458,64.2,17.837852,18.79,2.7094855,2.9,11.205132,11.27,13.271393,13.27,298.24426,297.5,5.5341883,5.07,242.5786,242.0
1645,57.925728,57.5,20.63309,20.9,2.1054263,2.37,9.75608,9.85,11.019647,12.11,328.52945,329.7,4.2951856,3.87,299.06766,302.6
1656,63.55072,61.1,18.747795,20.62,2.5206616,2.54,11.126135,10.41,12.2911825,12.82,321.23282,325.1,4.3814125,3.92,295.38794,299.8
1945,40.088844,38.1,34.15,34.99,0.81475466,0.96,10.797108,9.15,11.619814,11.42,388.99805,390.6,2.070278,2.22,361.90732,360.7
1067,61.767685,60.2,18.441454,18.15,2.572254,2.79,10.62203,10.69,12.85016,12.14,292.21173,293.5,5.670936,5.23,228.2566,231.3
