,Maximum Pressure(predicted),Crank Angle at Maximum Pressure(predicted),Maximum Rate of Pressure Rise(predicted),BMEP(predicted),IMEP(predicted),BSFC(predicted),BSNOx(predicted),BSCO(predicted)
2107,22.650524,42.684914,0.22677615,7.5949593,7.8907666,512.87915,1.4016653,476.58286
1871,61.287533,20.606874,2.608677,10.471333,13.088472,332.51712,3.8294377,314.77203
1128,50.731903,23.14705,1.3803825,10.239986,11.180325,300.64603,4.5733767,235.98334
1162,39.678856,31.304567,1.0964966,9.998013,11.22644,317.44638,3.2337475,244.52794
1483,41.283318,26.524061,1.9058571,8.0456505,9.887711,340.84338,3.2765474,295.71176
1925,33.889057,34.947456,0.83032227,7.6160927,9.94146,402.8008,1.9496237,375.06808
1534,39.014694,33.19308,1.0055733,9.422894,11.738972,352.65762,3.0302644,303.1116
1154,39.531097,31.511576,0.9547653,9.779827,11.069973,322.14474,3.4183698,249.81076
1558,39.871647,33.62499,0.94156647,10.227886,12.29673,350.42215,2.544921,301.66107
1658,62.485,20.113375,2.890232,10.735874,13.1790085,325.52444,4.176884,297.59122
1881,40.823223,27.912004,1.4375763,7.4529915,9.908966,370.24246,2.7930818,348.20502
2004,61.525806,17.234621,3.1191788,9.068607,11.627163,348.0323,3.9591613,335.95532
1134,31.633678,33.30217,0.8421402,8.996838,9.758099,337.2103,3.3306966,263.43515
1641,46.91332,21.2213,2.2742004,7.71471,9.543026,345.5334,3.4655204,317.68155
1363,42.182896,32.54464,1.3225441,10.393459,12.750221,328.74197,3.2026196,265.11142
1465,63.276142,19.32213,3.0630531,11.11063,13.366238,306.54086,4.3239803,266.95642
1993,53.198933,18.740473,2.6094322,7.834156,9.890911,359.0251,4.026207,343.6057
2019,65.49057,16.796099,3.4169426,9.745922,12.577198,342.99142,3.6941733,332.1212
1216,69.65466,13.438482,4.0719643,10.250092,12.610132,295.84903,5.389855,245.16841
766,40.580963,28.293962,1.6277275,9.314297,10.97858,302.91492,4.130555,218.80606
1512,52.001728,25.533846,2.2659836,10.265156,12.45153,323.33823,3.2212825,281.65582
715,47.235325,23.29624,2.3481789,9.623676,10.881098,290.99762,4.2709537,211.83823
780,40.338665,28.71985,1.4003181,9.7908745,11.063301,308.0414,3.832264,225.6329
2087,42.56048,29.370348,1.3180771,8.061344,10.67083,379.5648,2.6197734,361.42453
572,41.0162,27.378061,2.0980225,8.898327,10.7290535,302.90768,3.9929552,217.47739
