,Learning_Rate,Dropout_Rate,Hidden_units,Batch_size,Validation_MAE,Validation_MSE
165,0.001,0.1,64,8,9442.2578125,61.58512878417969
166,0.01,0.1,64,8,944.4201049804688,15.697125434875488
167,0.1,0.1,64,8,1723.9232177734375,30.783931732177734
168,0.001,0.1,32,8,2716.62939453125,25.353893280029297
169,0.01,0.1,32,8,995.3851318359375,22.379413604736328
170,0.1,0.1,32,8,9309.03125,72.0474853515625
171,0.001,0.1,128,8,432132.21875,426.65985107421875
172,0.01,0.1,128,8,5870.9365234375,55.646305084228516
173,0.1,0.1,128,8,27798518.0,3699.54931640625
174,0.001,0.1,64,8,110771.5,243.62818908691406
175,0.01,0.1,64,8,6872.2412109375,53.33194351196289
176,0.1,0.1,64,8,1724.87353515625,28.400806427001953
177,0.001,0.1,32,8,2585.925537109375,37.90351867675781
178,0.01,0.1,32,8,6779.1455078125,56.8626594543457
179,0.1,0.1,32,8,26273.009765625,113.67214965820312
180,0.001,0.1,128,8,1097773824.0,22698.806640625
181,0.01,0.1,128,8,1686971.25,943.3768920898438
182,0.1,0.1,128,8,40602267648.0,148752.4375
183,0.001,0.1,64,8,15543358.0,2756.195068359375
184,0.01,0.1,64,8,119434.109375,262.9851989746094
185,0.1,0.1,64,8,23367512064.0,83715.0078125
186,0.001,0.1,32,8,241821.1875,284.086669921875
187,0.01,0.1,32,8,350156.03125,409.6837463378906
188,0.1,0.1,32,8,85065211904.0,240990.609375
189,0.001,0.2,128,8,13218.85546875,87.01876831054688
190,0.01,0.2,128,8,9857.4267578125,60.78934860229492
191,0.1,0.2,128,8,387.12579345703125,16.344940185546875
192,0.001,0.2,64,8,23472.8046875,116.03866577148438
193,0.01,0.2,64,8,30760.787109375,115.08027648925781
194,0.1,0.2,64,8,440.74853515625,14.807684898376465
195,0.001,0.2,32,8,26498.60546875,85.7165298461914
196,0.01,0.2,32,8,507.938720703125,13.195218086242676
197,0.1,0.2,32,8,3266.73388671875,30.592975616455078
198,0.001,0.2,128,8,3415650.5,1337.08740234375
199,0.01,0.2,128,8,5887.06103515625,57.30291748046875
